path,file_name,x,y,z,avg_amp
/home/nymph/Code/sample-space/harmonai-glitch-440k-2s-200-36.wav,harmonai-glitch-440k-2s-200-36.wav,55.13857,26.386076,88.780205,-0.00067107676
/home/nymph/Code/sample-space/harmonai-glitch-440k-2s-200-51.wav,harmonai-glitch-440k-2s-200-51.wav,75.408646,119.34901,152.6587,0.0056648552
/home/nymph/Code/sample-space/harmonai-glitch-440k-2s-200-13.wav,harmonai-glitch-440k-2s-200-13.wav,133.779,10.421335,-149.70277,7.356514e-05
/home/nymph/Code/sample-space/harmonai-glitch-440k-2s-200-34.wav,harmonai-glitch-440k-2s-200-34.wav,-182.6659,-39.118496,68.58341,0.0041397004
/home/nymph/Code/sample-space/harmonai-glitch-440k-2s-200-32.wav,harmonai-glitch-440k-2s-200-32.wav,-26.873446,-95.86861,-174.36229,0.00451064
/home/nymph/Code/sample-space/harmonai-glitch-440k-2s-200-31.wav,harmonai-glitch-440k-2s-200-31.wav,179.95604,-60.66936,82.75952,0.0068248445
/home/nymph/Code/sample-space/harmonai-glitch-440k-2s-200-53.wav,harmonai-glitch-440k-2s-200-53.wav,-107.65698,48.195545,-6.4678,-0.0004989309
/home/nymph/Code/sample-space/harmonai-glitch-440k-2s-200-25.wav,harmonai-glitch-440k-2s-200-25.wav,-5.8209243,25.973616,1.8709787,-0.003867865
/home/nymph/Code/sample-space/harmonai-glitch-440k-2s-200-46.wav,harmonai-glitch-440k-2s-200-46.wav,9.072576,-61.4544,116.660866,-0.0062314128
/home/nymph/Code/sample-space/harmonai-glitch-440k-2s-200-55.wav,harmonai-glitch-440k-2s-200-55.wav,-61.30004,7.4951706,83.33525,0.0005337363
/home/nymph/Code/sample-space/harmonai-glitch-440k-2s-200-21.wav,harmonai-glitch-440k-2s-200-21.wav,123.05314,14.847202,15.9732485,-0.0047520464
/home/nymph/Code/sample-space/harmonai-glitch-440k-2s-200-3.wav,harmonai-glitch-440k-2s-200-3.wav,-17.811476,52.567455,172.85022,0.0018010766
/home/nymph/Code/sample-space/harmonai-glitch-440k-2s-200-37.wav,harmonai-glitch-440k-2s-200-37.wav,25.659082,201.72774,-24.316948,0.00022750252
/home/nymph/Code/sample-space/harmonai-glitch-440k-2s-200-40.wav,harmonai-glitch-440k-2s-200-40.wav,-26.758556,-114.54281,25.160736,0.00026659825
/home/nymph/Code/sample-space/harmonai-glitch-440k-2s-200-20.wav,harmonai-glitch-440k-2s-200-20.wav,-52.080894,53.041332,-100.65952,-0.0044118254
/home/nymph/Code/sample-space/harmonai-glitch-440k-2s-200-22.wav,harmonai-glitch-440k-2s-200-22.wav,-3.1920347,215.61685,89.53325,0.000274539
/home/nymph/Code/sample-space/harmonai-glitch-440k-2s-200-2.wav,harmonai-glitch-440k-2s-200-2.wav,44.452843,25.35667,-87.6799,-0.014235091
/home/nymph/Code/sample-space/harmonai-glitch-440k-2s-200-38.wav,harmonai-glitch-440k-2s-200-38.wav,-129.51315,7.083872,162.4618,-0.0019488271
